(((1*6)-(6/4))/((5*3)*3))	(/(-(*16)(/64))(*(*53)3))	(((16*)(64/)-)((53*)3*)/)
(((9*3)/(1*0))+((8-6)-4))	(+(/(*93)(*10))(-(-86)4))	(((93*)(10*)/)((86-)4-)+)
(((0+7)-6)-((8-2)-(9-5)))	(-(-(+07)6)(-(-82)(-95)))	(((07+)6-)((82-)(95-)-)-)
(((8/3)/0)+((4/9)+1))	(+(/(/83)0)(+(/49)1))	(((83/)0/)((49/)1+)+)
(((7+3)/(5-7))/((5*0)-0))	(/(/(+73)(-57))(-(*50)0))	(((73+)(57-)/)((50*)0-)/)
(((0/9)*(7-6))/((4-9)/(0-6)))	(/(*(/09)(-76))(/(-49)(-06)))	(((09/)(76-)*)((49-)(06-)/)/)
(((9*2)*(4+6))*((4/1)/(4+8)))	(*(*(*92)(+46))(/(/41)(+48)))	(((92*)(46+)*)((41/)(48+)/)*)
((6*(0-5))*((1+5)/2))	(*(*6(-05))(/(+15)2))	((6(05-)*)((15+)2/)*)
(((5-0)*(8+5))/((7*9)/(4/0)))	(/(*(-50)(+85))(/(*79)(/40)))	(((50-)(85+)*)((79*)(40/)/)/)
(((6*3)+(1-7))-((5+3)/(6-5)))	(-(+(*63)(-17))(/(+53)(-65)))	(((63*)(17-)+)((53+)(65-)/)-)
(((9/8)/(1+1))+(6*6))	(+(/(/98)(+11))(*66))	(((98/)(11+)/)(66*)+)
(((7*6)/(4/9))/((3+6)/(2+2)))	(/(/(*76)(/49))(/(+36)(+22)))	(((76*)(49/)/)((36+)(22+)/)/)
(((7*0)-3)*((5-1)-8))	(*(-(*70)3)(-(-51)8))	(((70*)3-)((51-)8-)*)
(((7-8)+(6/8))-((8-6)/(7*6)))	(-(+(-78)(/68))(/(-86)(*76)))	(((78-)(68/)+)((86-)(76*)/)-)
((8/(3/8))+((3+4)*(7/3)))	(+(/8(/38))(*(+34)(/73)))	((8(38/)/)((34+)(73/)*)+)
(((7/6)-3)/((1-9)-(7+3)))	(/(-(/76)3)(-(-19)(+73)))	(((76/)3-)((19-)(73+)-)/)
(((5/2)-(8-7))/((9+4)-(4*0)))	(/(-(/52)(-87))(-(+94)(*40)))	(((52/)(87-)-)((94+)(40*)-)/)
(((6+2)-(1/4))-((6+2)*(2*1)))	(-(-(+62)(/14))(*(+62)(*21)))	(((62+)(14/)-)((62+)(21*)*)-)
(((6*8)*5)*((7-6)*(1*5)))	(*(*(*68)5)(*(-76)(*15)))	(((68*)5*)((76-)(15*)*)*)
(((0+6)/(8-9))+((5+0)*5))	(+(/(+06)(-89))(*(+50)5))	(((06+)(89-)/)((50+)5*)+)
(((5/0)-(1+7))+(4-(1+5)))	(+(-(/50)(+17))(-4(+15)))	(((50/)(17+)-)(4(15+)-)+)
((1/(4-5))-((9+9)-4))	(-(/1(-45))(-(+99)4))	((1(45-)/)((99+)4-)-)
(((4/3)-(2-1))/((2-3)*(4+2)))	(/(-(/43)(-21))(*(-23)(+42)))	(((43/)(21-)-)((23-)(42+)*)/)
((5*(0-3))*((7*0)*(7*1)))	(*(*5(-03))(*(*70)(*71)))	((5(03-)*)((70*)(71*)*)*)
(((2+9)-(6/6))-((6*0)*(7-9)))	(-(-(+29)(/66))(*(*60)(-79)))	(((29+)(66/)-)((60*)(79-)*)-)
((3/(5*7))/((3+0)-0))	(/(/3(*57))(-(+30)0))	((3(57*)/)((30+)0-)/)
((9/(0+1))*((9+8)+(5+5)))	(*(/9(+01))(+(+98)(+55)))	((9(01+)/)((98+)(55+)+)*)
(((7+1)*(4+0))+((4/9)-(7-0)))	(+(*(+71)(+40))(-(/49)(-70)))	(((71+)(40+)*)((49/)(70-)-)+)
(((6+7)*(9+9))*((5-8)+(5*0)))	(*(*(+67)(+99))(+(-58)(*50)))	(((67+)(99+)*)((58-)(50*)+)*)
(((1+6)*(5+6))/(4+(1/7)))	(/(*(+16)(+56))(+4(/17)))	(((16+)(56+)*)(4(17/)+)/)
(((3*5)/(4+6))+((3/9)-(7+5)))	(+(/(*35)(+46))(-(/39)(+75)))	(((35*)(46+)/)((39/)(75+)-)+)
(((9*9)/(0+3))/((7-9)-(2-3)))	(/(/(*99)(+03))(-(-79)(-23)))	(((99*)(03+)/)((79-)(23-)-)/)
(((4*8)/7)+((8/4)-(1/8)))	(+(/(*48)7)(-(/84)(/18)))	(((48*)7/)((84/)(18/)-)+)
(((5-9)+(0/8))*((8/7)/(9*2)))	(*(+(-59)(/08))(/(/87)(*92)))	(((59-)(08/)+)((87/)(92*)/)*)
(((6/8)+(5*0))-((6*4)/(5+6)))	(-(+(/68)(*50))(/(*64)(+56)))	(((68/)(50*)+)((64*)(56+)/)-)
(((0-2)+(6/7))*((0-1)+(6/1)))	(*(+(-02)(/67))(+(-01)(/61)))	(((02-)(67/)+)((01-)(61/)+)*)
(((8/3)/(4/6))/((5+1)/(5*3)))	(/(/(/83)(/46))(/(+51)(*53)))	(((83/)(46/)/)((51+)(53*)/)/)
((0+(6+6))/((3-0)*(6*6)))	(/(+0(+66))(*(-30)(*66)))	((0(66+)+)((30-)(66*)*)/)
(((5*4)+(4-6))/((3*8)-(9*1)))	(/(+(*54)(-46))(-(*38)(*91)))	(((54*)(46-)+)((38*)(91*)-)/)
(((4*5)+(8-1))-((5/4)/(0-5)))	(-(+(*45)(-81))(/(/54)(-05)))	(((45*)(81-)+)((54/)(05-)/)-)
(((6*8)-(5/5))+((8/9)+(7*4)))	(+(-(*68)(/55))(+(/89)(*74)))	(((68*)(55/)-)((89/)(74*)+)+)
(((5-1)+(9/4))-((5+1)*9))	(-(+(-51)(/94))(*(+51)9))	(((51-)(94/)+)((51+)9*)-)
(((0/5)*(7*2))+((1+1)/(0/9)))	(+(*(/05)(*72))(/(+11)(/09)))	(((05/)(72*)*)((11+)(09/)/)+)
(((7-7)*(3+2))/(0/(4-0)))	(/(*(-77)(+32))(/0(-40)))	(((77-)(32+)*)(0(40-)/)/)
(((7-6)+(6/1))-((7*4)-(2+9)))	(-(+(-76)(/61))(-(*74)(+29)))	(((76-)(61/)+)((74*)(29+)-)-)
(((3+0)-(9/3))/((0*0)+(5+7)))	(/(-(+30)(/93))(+(*00)(+57)))	(((30+)(93/)-)((00*)(57+)+)/)
(((7-3)-(4-9))/(0-1))	(/(-(-73)(-49))(-01))	(((73-)(49-)-)(01-)/)
(((0+9)+0)-((8-8)-(6+6)))	(-(+(+09)0)(-(-88)(+66)))	(((09+)0+)((88-)(66+)-)-)
(((4*3)/(0+8))-((1*6)/2))	(-(/(*43)(+08))(/(*16)2))	(((43*)(08+)/)((16*)2/)-)
(((7+4)+(8-1))+(3/(4+4)))	(+(+(+74)(-81))(/3(+44)))	(((74+)(81-)+)(3(44+)/)+)
(((5+5)-(4/6))+((0/8)+(0-2)))	(+(-(+55)(/46))(+(/08)(-02)))	(((55+)(46/)-)((08/)(02-)+)+)
((6-5)+((2/5)/(9/8)))	(+(-65)(/(/25)(/98)))	((65-)((25/)(98/)/)+)
(((2/7)+(6+0))+(6*(0/3)))	(+(+(/27)(+60))(*6(/03)))	(((27/)(60+)+)(6(03/)*)+)
(((2+1)+(2/2))-(5*(3+8)))	(-(+(+21)(/22))(*5(+38)))	(((21+)(22/)+)(5(38+)*)-)
(((2-0)*(3/3))-((4/4)+(0*8)))	(-(*(-20)(/33))(+(/44)(*08)))	(((20-)(33/)*)((44/)(08*)+)-)
(((3-3)*(4/1))*((6/9)+(7/1)))	(*(*(-33)(/41))(+(/69)(/71)))	(((33-)(41/)*)((69/)(71/)+)*)
(((6+0)*(1-8))*((6-7)*(1/3)))	(*(*(+60)(-18))(*(-67)(/13)))	(((60+)(18-)*)((67-)(13/)*)*)
((8*(8/0))-((2+5)+(4+3)))	(-(*8(/80))(+(+25)(+43)))	((8(80/)*)((25+)(43+)+)-)
(((6+4)+9)+((0*7)/4))	(+(+(+64)9)(/(*07)4))	(((64+)9+)((07*)4/)+)
(((3-5)*1)-(4*(6*4)))	(-(*(-35)1)(*4(*64)))	(((35-)1*)(4(64*)*)-)
(((7+8)+(5*8))+((2/4)*(4-3)))	(+(+(+78)(*58))(*(/24)(-43)))	(((78+)(58*)+)((24/)(43-)*)+)
(((9/2)/(4-2))-((6/9)*(0+9)))	(-(/(/92)(-42))(*(/69)(+09)))	(((92/)(42-)/)((69/)(09+)*)-)
(((0-1)+(0+1))*((6/0)+(5+1)))	(*(+(-01)(+01))(+(/60)(+51)))	(((01-)(01+)+)((60/)(51+)+)*)
(((9+8)+(8/3))-3)	(-(+(+98)(/83))3)	(((98+)(83/)+)3-)
(((9/4)+(8*9))/(6*(5-5)))	(/(+(/94)(*89))(*6(-55)))	(((94/)(89*)+)(6(55-)*)/)
(((3-8)*(3*7))*(5+(8/5)))	(*(*(-38)(*37))(+5(/85)))	(((38-)(37*)*)(5(85/)+)*)
(((2/8)+7)-(1+(5/2)))	(-(+(/28)7)(+1(/52)))	(((28/)7+)(1(52/)+)-)
(((1*5)/8)*((6*7)+(9/1)))	(*(/(*15)8)(+(*67)(/91)))	(((15*)8/)((67*)(91/)+)*)
(((7+5)*(7-4))+(3-(8+1)))	(+(*(+75)(-74))(-3(+81)))	(((75+)(74-)*)(3(81+)-)+)
(((9-2)-(9/3))-(1+(6*3)))	(-(-(-92)(/93))(+1(*63)))	(((92-)(93/)-)(1(63*)+)-)
((6/1)+((8/5)*(7-4)))	(+(/61)(*(/85)(-74)))	((61/)((85/)(74-)*)+)
(((6*6)/1)/((4+6)/(1-5)))	(/(/(*66)1)(/(+46)(-15)))	(((66*)1/)((46+)(15-)/)/)
(((1/4)*4)-(6+(5-8)))	(-(*(/14)4)(+6(-58)))	(((14/)4*)(6(58-)+)-)
(((3-0)+7)*((7+9)/(1/4)))	(*(+(-30)7)(/(+79)(/14)))	(((30-)7+)((79+)(14/)/)*)
((5+(7/3))-((9+7)/(2-6)))	(-(+5(/73))(/(+97)(-26)))	((5(73/)+)((97+)(26-)/)-)
(((4-3)+(4/8))*((5/3)*(5-8)))	(*(+(-43)(/48))(*(/53)(-58)))	(((43-)(48/)+)((53/)(58-)*)*)
(((1/1)/(6-3))+((9+0)+(3/5)))	(+(/(/11)(-63))(+(+90)(/35)))	(((11/)(63-)/)((90+)(35/)+)+)
(((0*0)/(4*9))/((5+0)*(4+2)))	(/(/(*00)(*49))(*(+50)(+42)))	(((00*)(49*)/)((50+)(42+)*)/)
((1*(5-7))/(0+(2-4)))	(/(*1(-57))(+0(-24)))	((1(57-)*)(0(24-)+)/)
(6*((9+5)/(5-2)))	(*6(/(+95)(-52)))	(6((95+)(52-)/)*)
(((8*7)/4)/((7+3)/6))	(/(/(*87)4)(/(+73)6))	(((87*)4/)((73+)6/)/)
(((9-4)+(0*9))-((3+6)+5))	(-(+(-94)(*09))(+(+36)5))	(((94-)(09*)+)((36+)5+)-)
(((7*5)-(4+5))+((7/3)*(6*3)))	(+(-(*75)(+45))(*(/73)(*63)))	(((75*)(45+)-)((73/)(63*)*)+)
(((8+1)-(9-3))-((8+2)*7))	(-(-(+81)(-93))(*(+82)7))	(((81+)(93-)-)((82+)7*)-)
(((2*4)/(6/2))-(0/(6-6)))	(-(/(*24)(/62))(/0(-66)))	(((24*)(62/)/)(0(66-)/)-)
((5/(3*7))/((5/6)*2))	(/(/5(*37))(*(/56)2))	((5(37*)/)((56/)2*)/)
