(2/(5*(0*(6-6))))	(/2(*5(*0(-66))))	(2(5(0(66-)*)*)/)
(3+(((0-1)/(9+6))-((3-9)-(0*9))))	(+3(-(/(-01)(+96))(-(-39)(*09))))	(3(((01-)(96+)/)((39-)(09*)-)-)+)
((0-6)+(6-(8*(4-6))))	(+(-06)(-6(*8(-46))))	((06-)(6(8(46-)*)-)+)
((5/6)/(7+((1-6)/1)))	(/(/56)(+7(/(-16)1)))	((56/)(7((16-)1/)+)/)
((1+5)+(6/((3+4)/(7+2))))	(+(+15)(/6(/(+34)(+72))))	((15+)(6((34+)(72+)/)/)+)
((2/2)-((0*3)*(6-(2*1))))	(-(/22)(*(*03)(-6(*21))))	((22/)((03*)(6(21*)-)*)-)
((7+8)+((4/8)+((1-1)*0)))	(+(+78)(+(/48)(*(-11)0)))	((78+)((48/)((11-)0*)+)+)
((2*8)-((1*8)+((9-7)-(6/5))))	(-(*28)(+(*18)(-(-97)(/65))))	((28*)((18*)((97-)(65/)-)+)-)
((3+9)/((7-(3+4))-3))	(/(+39)(-(-7(+34))3))	((39+)((7(34+)-)3-)/)
((2*6)+((6/(9-3))/(6+0)))	(+(*26)(/(/6(-93))(+60)))	((26*)((6(93-)/)(60+)/)+)
((4/4)+((1/(5/2))*(3*(9/5))))	(+(/44)(*(/1(/52))(*3(/95))))	((44/)((1(52/)/)(3(95/)*)*)+)
((8/1)*((4/(6+9))+((2*8)*8)))	(*(/81)(+(/4(+69))(*(*28)8)))	((81/)((4(69+)/)((28*)8*)+)*)
((2-8)/((7*(8+1))/((7*8)*(2-7))))	(/(-28)(/(*7(+81))(*(*78)(-27))))	((28-)((7(81+)*)((78*)(27-)*)/)/)
((4-6)-(((8+9)/7)+2))	(-(-46)(+(/(+89)7)2))	((46-)(((89+)7/)2+)-)
((6/2)/(((0*9)/2)-(8/1)))	(/(/62)(-(/(*09)2)(/81)))	((62/)(((09*)2/)(81/)-)/)
((9/8)+(((3-1)-0)-(7+(3*0))))	(+(/98)(-(-(-31)0)(+7(*30))))	((98/)(((31-)0-)(7(30*)+)-)+)
((3+2)+(((1*4)-6)*((0/0)*0)))	(+(+32)(*(-(*14)6)(*(/00)0)))	((32+)(((14*)6-)((00/)0*)*)+)
((6*9)/(((1*2)*6)*((3+9)/(0+6))))	(/(*69)(*(*(*12)6)(/(+39)(+06))))	((69*)(((12*)6*)((39+)(06+)/)*)/)
((5+9)-(((7/0)*(6+4))/4))	(-(+59)(/(*(/70)(+64))4))	((59+)(((70/)(64+)*)4/)-)
((0/7)/(((5-7)*(1*9))-(9-1)))	(/(/07)(-(*(-57)(*19))(-91)))	((07/)(((57-)(19*)*)(91-)-)/)
((7+9)-(((8-6)+(6+6))/(4-(1/2))))	(-(+79)(/(+(-86)(+66))(-4(/12))))	((79+)(((86-)(66+)+)(4(12/)-)/)-)
((3/7)-(((8/3)+(0-4))*((4+4)+5)))	(-(/37)(*(+(/83)(-04))(+(+44)5)))	((37/)(((83/)(04-)+)((44+)5+)*)-)
((7-8)-(((8+6)*(3-4))*((2/8)-(8*3))))	(-(-78)(*(*(+86)(-34))(-(/28)(*83))))	((78-)(((86+)(34-)*)((28/)(83*)-)*)-)
((8-(9+6))+(0/(6*(2-6))))	(+(-8(+96))(/0(*6(-26))))	((8(96+)-)(0(6(26-)*)/)+)
((2/(4/1))*(3/((4*5)-3)))	(*(/2(/41))(/3(-(*45)3)))	((2(41/)/)(3((45*)3-)/)*)
((7+(5/6))-(4-((0+4)+(2/9))))	(-(+7(/56))(-4(+(+04)(/29))))	((7(56/)+)(4((04+)(29/)+)-)-)
((1*(4+2))+((0/3)/(2/(3-8))))	(+(*1(+42))(/(/03)(/2(-38))))	((1(42+)*)((03/)(2(38-)/)/)+)
((6+(0-1))/((2*3)-((9/9)/2)))	(/(+6(-01))(-(*23)(/(/99)2)))	((6(01-)+)((23*)((99/)2/)-)/)
((4+(3+7))/((6*0)-((6-7)*(2-2))))	(/(+4(+37))(-(*60)(*(-67)(-22))))	((4(37+)+)((60*)((67-)(22-)*)-)/)
((0/(1+0))+((3/(6*1))-9))	(+(/0(+10))(-(/3(*61))9))	((0(10+)/)((3(61*)/)9-)+)
((0*(0*3))/((2+(8/0))/(3+7)))	(/(*0(*03))(/(+2(/80))(+37)))	((0(03*)*)((2(80/)+)(37+)/)/)
((0*(1-8))/((4/(2-2))/(3-(1+6))))	(/(*0(-18))(/(/4(-22))(-3(+16))))	((0(18-)*)((4(22-)/)(3(16+)-)/)/)
((8-(7/4))-((5+(0+9))-((9-2)*4)))	(-(-8(/74))(-(+5(+09))(*(-92)4)))	((8(74/)-)((5(09+)+)((92-)4*)-)-)
((6+(8+5))*((6*(1-3))-((1+0)-(6-2))))	(*(+6(+85))(-(*6(-13))(-(+10)(-62))))	((6(85+)+)((6(13-)*)((10+)(62-)-)-)*)
((3*(9-8))/(((2-7)*5)-8))	(/(*3(-98))(-(*(-27)5)8))	((3(98-)*)(((27-)5*)8-)/)
((9*(4/4))/(((8*3)+2)-(9+2)))	(/(*9(/44))(-(+(*83)2)(+92)))	((9(44/)*)(((83*)2+)(92+)-)/)
((5/(6+8))*(((6*8)+2)*(0/(9/7))))	(*(/5(+68))(*(+(*68)2)(/0(/97))))	((5(68+)/)(((68*)2+)(0(97/)/)*)*)
((7/(7/4))+(((0+1)*1)*((0*4)*0)))	(+(/7(/74))(*(*(+01)1)(*(*04)0)))	((7(74/)/)(((01+)1*)((04*)0*)*)+)
((9/(5+4))-(((7-9)/0)*((5+3)*(8-5))))	(-(/9(+54))(*(/(-79)0)(*(+53)(-85))))	((9(54+)/)(((79-)0/)((53+)(85-)*)*)-)
((1*(0-6))+(((6-7)/(4*6))+6))	(+(*1(-06))(+(/(-67)(*46))6))	((1(06-)*)(((67-)(46*)/)6+)+)
((2-(1/1))-(((6/8)-(6-8))*(2+1)))	(-(-2(/11))(*(-(/68)(-68))(+21)))	((2(11/)-)(((68/)(68-)-)(21+)*)-)
((7*(8/2))+(((2-7)+(4/5))+(5/(8-3))))	(+(*7(/82))(+(+(-27)(/45))(/5(-83))))	((7(82/)*)(((27-)(45/)+)(5(83-)/)+)+)
((1*(9*4))-(((5*0)/(8-2))*((3*0)/0)))	(-(*1(*94))(*(/(*50)(-82))(/(*30)0)))	((1(94*)*)(((50*)(82-)/)((30*)0/)*)-)
((6-(5+3))+(((9/6)*(8+4))-((1/9)*(3/6))))	(+(-6(+53))(-(*(/96)(+84))(*(/19)(/36))))	((6(53+)-)(((96/)(84+)*)((19/)(36/)*)-)+)
((2-(6*(0+8)))-2)	(-(-2(*6(+08)))2)	((2(6(08+)*)-)2-)
((3-(6-(4*2)))-(2-5))	(-(-3(-6(*42)))(-25))	((3(6(42*)-)-)(25-)-)
((6-(3-(8+8)))/(2*(4*5)))	(/(-6(-3(+88)))(*2(*45)))	((6(3(88+)-)-)(2(45*)*)/)
((6-(9*(5-3)))*(4/(8/(4-3))))	(*(-6(*9(-53)))(/4(/8(-43))))	((6(9(53-)*)-)(4(8(43-)/)/)*)
((4*(9-(5/9)))/(5+((2+2)/3)))	(/(*4(-9(/59)))(+5(/(+22)3)))	((4(9(59/)-)*)(5((22+)3/)+)/)
((8-(2-(3*3)))+(0*((0+8)/(3+8))))	(+(-8(-2(*33)))(*0(/(+08)(+38))))	((8(2(33*)-)-)(0((08+)(38+)/)*)+)
((0/(9+(9-0)))*((0+7)/7))	(*(/0(+9(-90)))(/(+07)7))	((0(9(90-)+)/)((07+)7/)*)
((3-(4+(0+7)))*((4-9)-(3/2)))	(*(-3(+4(+07)))(-(-49)(/32)))	((3(4(07+)+)-)((49-)(32/)-)*)
((0-(9+(4/4)))*((3+9)/(7+(2*9))))	(*(-0(+9(/44)))(/(+39)(+7(*29))))	((0(9(44/)+)-)((39+)(7(29*)+)/)*)
((0-(4+(7-5)))*((9-6)-((9/9)*6)))	(*(-0(+4(-75)))(-(-96)(*(/99)6)))	((0(4(75-)+)-)((96-)((99/)6*)-)*)
((6*(7+(8/8)))-((2/0)*((7/6)/(9*1))))	(-(*6(+7(/88)))(*(/20)(/(/76)(*91))))	((6(7(88/)+)*)((20/)((76/)(91*)/)*)-)
((8*(6+(1-5)))-((7*(8+8))-3))	(-(*8(+6(-15)))(-(*7(+88))3))	((8(6(15-)+)*)((7(88+)*)3-)-)
((5+(7-(5/5)))/((7-(2+8))/(1/7)))	(/(+5(-7(/55)))(/(-7(+28))(/17)))	((5(7(55/)-)+)((7(28+)-)(17/)/)/)
((2-(7*(1+0)))/((5+(1+5))*(0*(6/1))))	(/(-2(*7(+10)))(*(+5(+15))(*0(/61))))	((2(7(10+)*)-)((5(15+)+)(0(61/)*)*)/)
((7*(7-(4-5)))-((1/(1-9))-((8*4)/6)))	(-(*7(-7(-45)))(-(/1(-19))(/(*84)6)))	((7(7(45-)-)*)((1(19-)/)((84*)6/)-)-)
((5*(1+(5/5)))*((8*(1+2))-((2+4)/(4-1))))	(*(*5(+1(/55)))(-(*8(+12))(/(+24)(-41))))	((5(1(55/)+)*)((8(12+)*)((24+)(41-)/)-)*)
((7-(8*(0/0)))+(((2-2)*8)/9))	(+(-7(*8(/00)))(/(*(-22)8)9))	((7(8(00/)*)-)(((22-)8*)9/)+)
((0*(8*(8*8)))*(((2*8)+2)+(5-9)))	(*(*0(*8(*88)))(+(+(*28)2)(-59)))	((0(8(88*)*)*)(((28*)2+)(59-)+)*)
((7/(0*(9+6)))/(((7+7)*8)*(0+(4*7))))	(/(/7(*0(+96)))(*(*(+77)8)(+0(*47))))	((7(0(96+)*)/)(((77+)8*)(0(47*)+)*)/)
((4-(2*(6+0)))-(((8*7)+8)/((5*3)-6)))	(-(-4(*2(+60)))(/(+(*87)8)(-(*53)6)))	((4(2(60+)*)-)(((87*)8+)((53*)6-)/)-)
((4*(0/(0-0)))/(((3+2)-9)/((9-8)-(5*0))))	(/(*4(/0(-00)))(/(-(+32)9)(-(-98)(*50))))	((4(0(00-)/)*)(((32+)9-)((98-)(50*)-)/)/)
((5*(7-(2+3)))-(((0/3)*(9+9))+0))	(-(*5(-7(+23)))(+(*(/03)(+99))0))	((5(7(23+)-)*)(((03/)(99+)*)0+)-)
((5+(6*(6*4)))-(((0+3)/(9/4))+(8/9)))	(-(+5(*6(*64)))(+(/(+03)(/94))(/89)))	((5(6(64*)*)+)(((03+)(94/)/)(89/)+)-)
((7-(2-(4-0)))-(((9*9)-(2+9))/(3*(0-1))))	(-(-7(-2(-40)))(/(-(*99)(+29))(*3(-01))))	((7(2(40-)-)-)(((99*)(29+)-)(3(01-)*)/)-)
((1-(8*(9+9)))-(((3-1)+(6*6))/((1+3)-0)))	(-(-1(*8(+99)))(/(+(-31)(*66))(-(+13)0)))	((1(8(99+)*)-)(((31-)(66*)+)((13+)0-)/)-)
((9*(8-(8/4)))-(((9-1)/(1/5))+((8*6)/(3*4))))	(-(*9(-8(/84)))(+(/(-91)(/15))(/(*86)(*34))))	((9(8(84/)-)*)(((91-)(15/)/)((86*)(34*)/)+)-)
((0-((6+7)/3))+7)	(+(-0(/(+67)3))7)	((0((67+)3/)-)7+)
((3*((0/0)+2))*(4*8))	(*(*3(+(/00)2))(*48))	((3((00/)2+)*)(48*)*)
((1+((2/5)/6))*(3+(4-8)))	(*(+1(/(/25)6))(+3(-48)))	((1((25/)6/)+)(3(48-)+)*)
((7-((5+3)/6))-(2*(4+(4-7))))	(-(-7(/(+53)6))(*2(+4(-47))))	((7((53+)6/)-)(2(4(47-)+)*)-)
((4/((6-5)/6))/(2/((9/4)*8)))	(/(/4(/(-65)6))(/2(*(/94)8)))	((4((65-)6/)/)(2((94/)8*)/)/)
((8+((1+7)+1))/(2+((8/2)/(0+7))))	(/(+8(+(+17)1))(+2(/(/82)(+07))))	((8((17+)1+)+)(2((82/)(07+)/)+)/)
((6*((8*1)/1))+((0-3)/8))	(+(*6(/(*81)1))(/(-03)8))	((6((81*)1/)*)((03-)8/)+)
((6-((3*0)/7))*((8/7)+(0-4)))	(*(-6(/(*30)7))(+(/87)(-04)))	((6((30*)7/)-)((87/)(04-)+)*)
((2/((5/3)-6))-((2/8)/(8/(9-3))))	(-(/2(-(/53)6))(/(/28)(/8(-93))))	((2((53/)6-)/)((28/)(8(93-)/)/)-)
((8-((0*7)+4))-((9-9)*((0/8)/2)))	(-(-8(+(*07)4))(*(-99)(/(/08)2)))	((8((07*)4+)-)((99-)((08/)2/)*)-)
((1+((8*8)/8))-((9/0)*((5+5)+(5+6))))	(-(+1(/(*88)8))(*(/90)(+(+55)(+56))))	((1((88*)8/)+)((90/)((55+)(56+)+)*)-)
((7+((0-4)*4))+((8-(0/6))/2))	(+(+7(*(-04)4))(/(-8(/06))2))	((7((04-)4*)+)((8(06/)-)2/)+)
((0-((3+6)/8))/((7/(6-0))*(0+9)))	(/(-0(/(+36)8))(*(/7(-60))(+09)))	((0((36+)8/)-)((7(60-)/)(09+)*)/)
((9+((3/8)+5))/((1-(4-2))+(0*(4*2))))	(/(+9(+(/38)5))(+(-1(-42))(*0(*42))))	((9((38/)5+)+)((1(42-)-)(0(42*)*)+)/)
((2/((7*7)+7))*((3*(8/3))+((1+3)*6)))	(*(/2(+(*77)7))(+(*3(/83))(*(+13)6)))	((2((77*)7+)/)((3(83/)*)((13+)6*)+)*)
((4-((1*6)*9))-((4+(6+8))-((4*6)-(4*7))))	(-(-4(*(*16)9))(-(+4(+68))(-(*46)(*47))))	((4((16*)9*)-)((4(68+)+)((46*)(47*)-)-)-)
((9-((7/8)-3))+(((0/6)+7)*8))	(+(-9(-(/78)3))(*(+(/06)7)8))	((9((78/)3-)-)(((06/)7+)8*)+)
((1/((4-5)-6))*(((6-2)/2)+(3-6)))	(*(/1(-(-45)6))(+(/(-62)2)(-36)))	((1((45-)6-)/)(((62-)2/)(36-)+)*)
((2*((0*5)*4))+(((0+0)/6)-(6-(3-1))))	(+(*2(*(*05)4))(-(/(+00)6)(-6(-31))))	((2((05*)4*)*)(((00+)6/)(6(31-)-)-)+)
((9-((7-9)+4))/(((5/2)-0)+((7+8)-9)))	(/(-9(+(-79)4))(+(-(/52)0)(-(+78)9)))	((9((79-)4+)-)(((52/)0-)((78+)9-)+)/)
((0-((6/3)+4))/(((4-3)*7)*((8*3)-(1/2))))	(/(-0(+(/63)4))(*(*(-43)7)(-(*83)(/12))))	((0((63/)4+)-)(((43-)7*)((83*)(12/)-)*)/)
((6-((4-1)+8))+(((8*0)*(2-0))+9))	(+(-6(+(-41)8))(+(*(*80)(-20))9))	((6((41-)8+)-)(((80*)(20-)*)9+)+)
((1-((7*7)+2))-(((7-1)/(0-5))*(2-2)))	(-(-1(+(*77)2))(*(/(-71)(-05))(-22)))	((1((77*)2+)-)(((71-)(05-)/)(22-)*)-)
((5-((1+1)*6))-(((0+7)*(5/1))-(9*(4+9))))	(-(-5(*(+11)6))(-(*(+07)(/51))(*9(+49))))	((5((11+)6*)-)(((07+)(51/)*)(9(49+)*)-)-)
((2-((1+6)-4))*(((8+5)-(2-4))*((0*6)/1)))	(*(-2(-(+16)4))(*(-(+85)(-24))(/(*06)1)))	((2((16+)4-)-)(((85+)(24-)-)((06*)1/)*)*)
((9-((1-2)+9))-(((8*7)+(6+3))+((6/8)/(8+9))))	(-(-9(+(-12)9))(+(+(*87)(+63))(/(/68)(+89))))	((9((12-)9+)-)(((87*)(63+)+)((68/)(89+)/)+)-)
((3/((6+3)-(1/9)))-5)	(-(/3(-(+63)(/19)))5)	((3((63+)(19/)-)/)5-)
((6+((1+7)+(1+4)))+(5*1))	(+(+6(+(+17)(+14)))(*51))	((6((17+)(14+)+)+)(51*)+)
((3-((1/9)/(3-9)))/(3/(3*3)))	(/(-3(/(/19)(-39)))(/3(*33)))	((3((19/)(39-)/)-)(3(33*)/)/)
((0-((9+3)-(9+1)))*(4-(9*(7*8))))	(*(-0(-(+93)(+91)))(-4(*9(*78))))	((0((93+)(91+)-)-)(4(9(78*)*)-)*)
((0+((4/8)-(8*2)))-(4/((9+4)/3)))	(-(+0(-(/48)(*82)))(/4(/(+94)3)))	((0((48/)(82*)-)+)(4((94+)3/)/)-)
((2+((0/8)+(3/8)))-(3-((6*6)-(4/2))))	(-(+2(+(/08)(/38)))(-3(-(*66)(/42))))	((2((08/)(38/)+)+)(3((66*)(42/)-)-)-)
((1*((1/3)/(6*9)))/((7+1)*9))	(/(*1(/(/13)(*69)))(*(+71)9))	((1((13/)(69*)/)*)((71+)9*)/)
((9+((9-9)-(7/5)))/((3+5)/(0+5)))	(/(+9(-(-99)(/75)))(/(+35)(+05)))	((9((99-)(75/)-)+)((35+)(05+)/)/)
((1*((4-6)*(5-1)))+((0-5)*(6-(7*0))))	(+(*1(*(-46)(-51)))(*(-05)(-6(*70))))	((1((46-)(51-)*)*)((05-)(6(70*)-)*)+)
((6+((6+5)+(4/0)))-((1/2)/((2+5)*5)))	(-(+6(+(+65)(/40)))(/(/12)(*(+25)5)))	((6((65+)(40/)+)+)((12/)((25+)5*)/)-)
((0/((5-9)*(5*0)))/((5+1)*((1-6)+(0-1))))	(/(/0(*(-59)(*50)))(*(+51)(+(-16)(-01))))	((0((59-)(50*)*)/)((51+)((16-)(01-)+)*)/)
((9/((7*9)-(6*8)))*((7-(0+2))-8))	(*(/9(-(*79)(*68)))(-(-7(+02))8))	((9((79*)(68*)-)/)((7(02+)-)8-)*)
((5+((1*1)/(9-9)))+((7*(8/1))/(3*8)))	(+(+5(/(*11)(-99)))(/(*7(/81))(*38)))	((5((11*)(99-)/)+)((7(81/)*)(38*)/)+)
((0+((9-0)+(6*9)))+((6-(6+6))*(5/(4-1))))	(+(+0(+(-90)(*69)))(*(-6(+66))(/5(-41))))	((0((90-)(69*)+)+)((6(66+)-)(5(41-)/)*)+)
((0+((0+0)/(1/4)))+((8/(2*7))-((4+4)/1)))	(+(+0(/(+00)(/14)))(-(/8(*27))(/(+44)1)))	((0((00+)(14/)/)+)((8(27*)/)((44+)1/)-)+)
((2/((0*4)/(4/3)))-((7/(9/7))-((0+2)-(5+6))))	(-(/2(/(*04)(/43)))(-(/7(/97))(-(+02)(+56))))	((2((04*)(43/)/)/)((7(97/)/)((02+)(56+)-)-)-)
((3-((5*6)-(2+0)))+(((5/8)*2)/2))	(+(-3(-(*56)(+20)))(/(*(/58)2)2))	((3((56*)(20+)-)-)(((58/)2*)2/)+)
((2*((1/3)/(1-4)))+(((9/7)-4)*(6-8)))	(+(*2(/(/13)(-14)))(*(-(/97)4)(-68)))	((2((13/)(14-)/)*)(((97/)4-)(68-)*)+)
((0*((7*0)*(6/4)))-(((0+1)/9)*(2-(4/1))))	(-(*0(*(*70)(/64)))(*(/(+01)9)(-2(/41))))	((0((70*)(64/)*)*)(((01+)9/)(2(41/)-)*)-)
((6-((7+3)/(0*5)))/(((3-3)-8)*((4-7)*6)))	(/(-6(/(+73)(*05)))(*(-(-33)8)(*(-47)6)))	((6((73+)(05*)/)-)(((33-)8-)((47-)6*)*)/)
((2-((6*4)*(9+3)))/(((5/7)/7)+((5*1)+(7-2))))	(/(-2(*(*64)(+93)))(+(/(/57)7)(+(*51)(-72))))	((2((64*)(93+)*)-)(((57/)7/)((51*)(72-)+)+)/)
((8-((3+4)/(7-4)))*(((6/7)/(1/6))/6))	(*(-8(/(+34)(-74)))(/(/(/67)(/16))6))	((8((34+)(74-)/)-)(((67/)(16/)/)6/)*)
((2*((9*5)*(7+3)))-(((8/6)-(8/6))+(2+5)))	(-(*2(*(*95)(+73)))(+(-(/86)(/86))(+25)))	((2((95*)(73+)*)*)(((86/)(86/)-)(25+)+)-)
((0*((1/3)-(0*3)))+(((4/8)-(6/5))-(5-(7*2))))	(+(*0(-(/13)(*03)))(-(-(/48)(/65))(-5(*72))))	((0((13/)(03*)-)*)(((48/)(65/)-)(5(72*)-)-)+)
((5/((6-0)-(2+6)))*(((0-1)+(2-7))-((0+3)/5)))	(*(/5(-(-60)(+26)))(-(+(-01)(-27))(/(+03)5)))	((5((60-)(26+)-)/)(((01-)(27-)+)((03+)5/)-)*)
((9-((9*0)-(0/3)))*(((9-0)-(0/7))-((1-7)+(6+9))))	(*(-9(-(*90)(/03)))(-(-(-90)(/07))(+(-17)(+69))))	((9((90*)(03/)-)-)(((90-)(07/)-)((17-)(69+)+)-)*)
(((8/9)-4)-(9*(4/(7+5))))	(-(-(/89)4)(*9(/4(+75))))	(((89/)4-)(9(4(75+)/)*)-)
(((9+5)+6)-(1*((1/6)*7)))	(-(+(+95)6)(*1(*(/16)7)))	(((95+)6+)(1((16/)7*)*)-)
(((7+8)/9)+(9*((7/7)/(2/5))))	(+(/(+78)9)(*9(/(/77)(/25))))	(((78+)9/)(9((77/)(25/)/)*)+)
(((3/8)+2)+((3+1)+(7+(1*9))))	(+(+(/38)2)(+(+31)(+7(*19))))	(((38/)2+)((31+)(7(19*)+)+)+)
(((2-7)-9)*((2/9)+((1+0)*8)))	(*(-(-27)9)(+(/29)(*(+10)8)))	(((27-)9-)((29/)((10+)8*)+)*)
(((3-9)-1)+((5+6)*((2-0)+(9/7))))	(+(-(-39)1)(*(+56)(+(-20)(/97))))	(((39-)1-)((56+)((20-)(97/)+)*)+)
(((1/3)*6)+((8-(3*1))/6))	(+(*(/13)6)(/(-8(*31))6))	(((13/)6*)((8(31*)-)6/)+)
(((3-6)+4)/((1/(4*3))+(1/0)))	(/(+(-36)4)(+(/1(*43))(/10)))	(((36-)4+)((1(43*)/)(10/)+)/)
(((2*6)-4)/((9/(5-8))-(4-(8*4))))	(/(-(*26)4)(-(/9(-58))(-4(*84))))	(((26*)4-)((9(58-)/)(4(84*)-)-)/)
(((4/1)+4)/((0/(7*0))+((6*5)+0)))	(/(+(/41)4)(+(/0(*70))(+(*65)0)))	(((41/)4+)((0(70*)/)((65*)0+)+)/)
(((4+1)/1)-((6*(5*0))*((1-9)*(9-1))))	(-(/(+41)1)(*(*6(*50))(*(-19)(-91))))	(((41+)1/)((6(50*)*)((19-)(91-)*)*)-)
(((9-9)*3)-(((0*8)*0)*0))	(-(*(-99)3)(*(*(*08)0)0))	(((99-)3*)(((08*)0*)0*)-)
(((0-8)+9)/(((2*8)-5)+(4*5)))	(/(+(-08)9)(+(-(*28)5)(*45)))	(((08-)9+)(((28*)5-)(45*)+)/)
(((0*5)*9)+(((3*5)*6)-(2-(1+1))))	(+(*(*05)9)(-(*(*35)6)(-2(+11))))	(((05*)9*)(((35*)6*)(2(11+)-)-)+)
(((8*4)-7)+(((3/7)*3)*((5+5)/1)))	(+(-(*84)7)(*(*(/37)3)(/(+55)1)))	(((84*)7-)(((37/)3*)((55+)1/)*)+)
(((9*0)+1)/(((2+1)/1)-((6*0)*(1*1))))	(/(+(*90)1)(-(/(+21)1)(*(*60)(*11))))	(((90*)1+)(((21+)1/)((60*)(11*)*)-)/)
(((6-8)+1)+(((8*5)/(7*8))*7))	(+(+(-68)1)(*(/(*85)(*78))7))	(((68-)1+)(((85*)(78*)/)7*)+)
(((6-9)+3)*(((0+3)*(0*2))*(5*5)))	(*(+(-69)3)(*(*(+03)(*02))(*55)))	(((69-)3+)(((03+)(02*)*)(55*)*)*)
(((6/7)/9)+(((3/8)+(3-2))*(1-(4/4))))	(+(/(/67)9)(*(+(/38)(-32))(-1(/44))))	(((67/)9/)(((38/)(32-)+)(1(44/)-)*)+)
(((7/2)*1)+(((6+2)-(8*6))+((9*8)/2)))	(+(*(/72)1)(+(-(+62)(*86))(/(*98)2)))	(((72/)1*)(((62+)(86*)-)((98*)2/)+)+)
(((1*7)/0)+(((6/5)+(4-2))*((2*8)-(4+5))))	(+(/(*17)0)(*(+(/65)(-42))(-(*28)(+45))))	(((17*)0/)(((65/)(42-)+)((28*)(45+)-)*)+)
(((9/5)+(4/8))*(6-(4+(0*7))))	(*(+(/95)(/48))(-6(+4(*07))))	(((95/)(48/)+)(6(4(07*)+)-)*)
(((7-2)+(1/0))+(4+((0/4)/5)))	(+(+(-72)(/10))(+4(/(/04)5)))	(((72-)(10/)+)(4((04/)5/)+)+)
(((5-1)+(1+3))*(7-((3-5)-(6/4))))	(*(+(-51)(+13))(-7(-(-35)(/64))))	(((51-)(13+)+)(7((35-)(64/)-)-)*)
(((9*3)/(4+4))/((8/4)+(6+(9-5))))	(/(/(*93)(+44))(+(/84)(+6(-95))))	(((93*)(44+)/)((84/)(6(95-)+)+)/)
(((0/5)+(4+9))*((5+5)/((1-9)+6)))	(*(+(/05)(+49))(/(+55)(+(-19)6)))	(((05/)(49+)+)((55+)((19-)6+)/)*)
(((3-8)/(9+8))*((4*8)-((6-1)/(5-5))))	(*(/(-38)(+98))(-(*48)(/(-61)(-55))))	(((38-)(98+)/)((48*)((61-)(55-)/)-)*)
(((3-3)+(6+7))+((2-(5-8))-2))	(+(+(-33)(+67))(-(-2(-58))2))	(((33-)(67+)+)((2(58-)-)2-)+)
(((4*8)+(5*3))-((1*(3-0))/(2-9)))	(-(+(*48)(*53))(/(*1(-30))(-29)))	(((48*)(53*)+)((1(30-)*)(29-)/)-)
(((0-4)-(0*4))*((0*(5*4))*(9+(4+3))))	(*(-(-04)(*04))(*(*0(*54))(+9(+43))))	(((04-)(04*)-)((0(54*)*)(9(43+)+)*)*)
